s12,s13,s23,u1,u2,u3,Q2,madgraph_azimuthal_average
4.48849393322905235e+04,6.46293306012024987e+05,4.58788387740149046e+04,-6.46276007750043282e+04,-7.76174496796008316e+04,-7.31887216500238050e+05,1.37075182836512628e+05,4.04187216003121183e-10
9.97969827484016714e+04,4.46066825701666967e+04,4.04581360721021309e+05,-1.40530127427775587e+05,-4.74679714850797376e+05,-1.03209632102778385e+05,1.69434448341761599e+05,1.91298742080809638e-10
2.97724064367539308e+05,3.01317070531163248e+05,5.38611441986483405e+04,-6.15902033325165743e+05,-9.28994962707379891e+04,-2.79230053571341268e+05,3.35129304069894366e+05,7.26973126926532351e-12
2.46161750635700242e+05,1.49795171902568167e+05,1.81138584942353918e+05,-2.22285150286508899e+05,-1.41126783818573371e+05,-4.11495528726362158e+05,1.97811955350821954e+05,6.92459550764679147e-11
8.01077878842797654e+04,2.66887099439865677e+05,3.50031830697774829e+05,-2.66073329727607081e+05,-5.70740069647128810e+05,-1.40843918925814214e+05,2.80630600278629281e+05,4.10240636585667631e-11
3.87622349747786793e+04,4.35608426751637598e+04,3.36104771872161829e+05,-1.00759476215068542e+05,-5.53316924232861202e+04,-6.04829464425286627e+05,3.42492783541537239e+05,4.83452135833371148e-10
5.74130385532152141e+04,4.20301781260475167e+05,1.11009845101765357e+05,-4.05154099353352445e+05,-2.08541562408352125e+05,-1.27433032282555447e+05,1.52404029128804337e+05,1.02674010804718362e-10
1.19169684014254657e+05,1.21837099060153036e+05,1.70199997559702693e+05,-1.29368773933154735e+05,-1.02357202733179380e+05,-4.00886042193848407e+05,2.21405238226072164e+05,2.00012250353098907e-10
7.97985204181349836e+04,6.06980243430588962e+04,2.55626284429252322e+05,-9.94146159801117028e+04,-3.92068985284472990e+05,-1.29710109558057011e+05,2.25070881632195495e+05,2.87670300385774024e-10
2.23537290169089916e+05,3.77018194458771904e+04,4.68632969342148514e+05,-1.69835905847469228e+05,-6.38522247139131417e+05,-7.65974981923219166e+04,1.55083572221807059e+05,8.96033149827385762e-11
9.39418846682806616e+04,1.63926642131916888e+05,8.43264216299943510e+04,-5.96601272797838319e+04,-1.84282306601154356e+05,-3.19196343842343136e+05,2.20943829293089773e+05,4.40264460650760775e-10
2.56026932887383067e+05,1.05681218705048392e+05,2.41522861285234743e+05,-4.54545545794158417e+05,-3.97746561775295064e+05,-1.28678221610758483e+05,3.77739316302545834e+05,5.75700547667845017e-12
1.11433040573837410e+05,2.25730027033898456e+05,1.74626765881925850e+05,-3.93986544166300388e+05,-5.01220680079742451e+04,-3.54313632369167986e+05,2.86632411053781165e+05,2.69002479305829350e-11
1.71114486282451369e+05,1.65736231377561780e+05,7.77194533673868864e+04,-3.29520692074635008e+05,-2.83100142732908207e+04,-1.91310976364901697e+05,1.34571511685427569e+05,2.25963583584129999e-10
5.09995809627231560e+05,9.55299077032819332e+04,5.63635003802924475e+04,-9.30294059932762611e+04,-5.71706041689312435e+05,-1.78259023405741114e+05,1.81105253377524030e+05,1.44320816634525677e-10
2.18458614387938491e+05,2.45484484796737088e+04,2.29536241686635854e+05,-2.15549265174663102e+05,-3.93905146589900425e+05,-2.30402587169109844e+05,3.67313694379425200e+05,4.02030920679409340e-11
3.51104625576925464e+04,1.34202176264569745e+05,3.66695929438416497e+05,-1.25312501040488831e+05,-4.65687939593731484e+05,-6.46176345651619267e+04,1.19609506938703358e+05,1.91367193535031441e-09
2.61455037122342095e+05,1.81031430297542945e+05,1.12995271886054397e+05,-1.98269113763585279e+05,-5.07480875656021119e+05,-9.02813106283693924e+04,2.40549560742036090e+05,7.58098900646690019e-11
1.14729156285165780e+05,1.20448419386999594e+05,4.22697958672002656e+05,-2.38138211512630311e+05,-7.36678549631954229e+04,-6.36079751429515192e+05,2.90010283561173419e+05,4.78292099224864048e-11
8.74269911364545842e+04,1.16009173807191837e+05,4.16861016830917855e+05,-1.65998832521508884e+05,-1.40051051721464813e+05,-5.22625956539425242e+05,2.08378659007834387e+05,7.28412861054591528e-11
3.29302410708926735e+05,5.09692655807901174e+04,3.14938983566033654e+05,-1.33866003093305859e+05,-5.70707305740596028e+05,-2.87929995918894361e+05,2.97292644897045742e+05,2.53819421646426595e-11
1.19958632456090752e+05,1.34976265247544565e+05,2.33382936912844074e+05,-8.12007512909545476e+04,-4.67812943588445603e+05,-1.08624227801385292e+05,1.69320088064306066e+05,6.31281139582184483e-10
