"s12","s13","s23","u1","u2","u3","Q2","madgraph_azimuthal_average","local_projected_matrix_element","signed_difference","relative_difference"
44884.93933229052,646293.306012025,45878.838774014905,-64627.60077500433,-77617.44967960083,-731887.216500238,137075.18283651263,4.041872160031212e-10,4.0418721600311927e-10,-1.9128551665288765e-24,"4.732596902604919e-15"
99796.98274840167,44606.6825701667,404581.3607210213,-140530.1274277756,-474679.7148507974,-103209.63210277839,169434.4483417616,1.9129874208080964e-10,1.9129874208080959e-10,-5.169878828456423e-26,"2.7025158515012764e-16"
297724.0643675393,301317.07053116325,53861.14419864834,-615902.0333251657,-92899.49627073799,-279230.05357134127,335129.30406989437,7.2697312692653235e-12,7.2697312692653615e-12,3.7966297646476856e-26,"5.222517344896782e-15"
246161.75063570024,149795.17190256817,181138.58494235392,-222285.1502865089,-141126.78381857337,-411495.52872636216,197811.95535082195,6.924595507646791e-11,6.924595507646798e-11,6.462348535570529e-26,"9.33245635565888e-16"
80107.78788427977,266887.0994398657,350031.8306977748,-266073.3297276071,-570740.0696471288,-140843.9189258142,280630.6002786293,4.102406365856676e-11,4.102406365856662e-11,-1.4217166778255163e-25,"3.4655676474620263e-15"
38762.23497477868,43560.84267516376,336104.77187216183,-100759.47621506854,-55331.69242328612,-604829.4644252866,342492.78354153724,4.834521358333711e-10,4.834521358333705e-10,-6.203854594147708e-25,"1.2832407045743111e-15"
57413.038553215214,420301.78126047517,111009.84510176536,-405154.09935335245,-208541.56240835213,-127433.03228255545,152404.02912880434,1.0267401080471836e-10,1.0267401080471821e-10,-1.550963648536927e-25,"1.5105708215556071e-15"
119169.68401425466,121837.09906015304,170199.9975597027,-129368.77393315473,-102357.20273317938,-400886.0421938484,221405.23822607216,2.000122503530989e-10,2.0001225035309795e-10,-9.564275832644382e-25,"4.781845019872403e-15"
79798.52041813498,60698.024343058896,255626.28442925232,-99414.6159801117,-392068.985284473,-129710.10955805701,225070.8816321955,2.87670300385774e-10,2.8767030038577335e-10,-6.72084247699335e-25,"2.336300434205585e-15"
223537.29016908992,37701.81944587719,468632.9693421485,-169835.90584746923,-638522.2471391314,-76597.49819232192,155083.57222180706,8.960331498273858e-11,8.960331498273842e-11,-1.550963648536927e-25,"1.730922174961617e-15"
93941.88466828066,163926.6421319169,84326.42162999435,-59660.12727978383,-184282.30660115436,-319196.34384234314,220943.82929308977,4.402644606507608e-10,4.402644606507595e-10,-1.2924697071141057e-24,"2.9356666790766825e-15"
256026.93288738307,105681.21870504839,241522.86128523474,-454545.5457941584,-397746.56177529506,-128678.22161075848,377739.31630254583,5.75700547667845e-12,5.757005476678438e-12,-1.2116903504194741e-26,"2.1047232894393015e-15"
111433.04057383741,225730.02703389846,174626.76588192585,-393986.5441663004,-50122.068007974245,-354313.632369168,286632.41105378116,2.6900247930582935e-11,2.6900247930582935e-11,0,"0"
171114.48628245137,165736.23137756178,77719.45336738689,-329520.692074635,-28310.01427329082,-191310.9763649017,134571.51168542757,2.2596358358413e-10,2.259635835841299e-10,-1.0339757656912846e-25,"4.575851335382624e-16"
509995.80962723156,95529.90770328193,56363.50038029245,-93029.40599327626,-571706.0416893124,-178259.0234057411,181105.25337752403,1.4432081663452568e-10,1.443208166345253e-10,-3.877409121342317e-25,"2.6866596321730694e-15"
218458.6143879385,24548.44847967371,229536.24168663585,-215549.2651746631,-393905.1465899004,-230402.58716910984,367313.6943794252,4.0203092067940934e-11,4.020309206794091e-11,-2.5849394142282115e-26,"6.429702993639921e-16"
