s12,s13,s23,u1,u2,u3,Q2,madgraph_azimuthal_average
4.48849393322905235e+04,6.46293306012024987e+05,4.58788387740149046e+04,-6.46276007750043282e+04,-7.76174496796008316e+04,-7.31887216500238050e+05,1.37075182836512628e+05,5.73599727789561026e-10
9.97969827484016714e+04,4.46066825701666967e+04,4.04581360721021309e+05,-1.40530127427775587e+05,-4.74679714850797376e+05,-1.03209632102778385e+05,1.69434448341761599e+05,3.19005359346469628e-09
2.97724064367539308e+05,3.01317070531163248e+05,5.38611441986483405e+04,-6.15902033325165743e+05,-9.28994962707379891e+04,-2.79230053571341268e+05,3.35129304069894366e+05,7.76175460599579713e-11
2.46161750635700242e+05,1.49795171902568167e+05,1.81138584942353918e+05,-2.22285150286508899e+05,-1.41126783818573371e+05,-4.11495528726362158e+05,1.97811955350821954e+05,2.35704106051206980e-10
8.01077878842797654e+04,2.66887099439865677e+05,3.50031830697774829e+05,-2.66073329727607081e+05,-5.70740069647128810e+05,-1.40843918925814214e+05,2.80630600278629281e+05,2.48065429711052074e-10
3.87622349747786793e+04,4.35608426751637598e+04,3.36104771872161829e+05,-1.00759476215068542e+05,-5.53316924232861202e+04,-6.04829464425286627e+05,3.42492783541537239e+05,1.37523697446782815e-09
5.74130385532152141e+04,4.20301781260475167e+05,1.11009845101765357e+05,-4.05154099353352445e+05,-2.08541562408352125e+05,-1.27433032282555447e+05,1.52404029128804337e+05,4.10586742749533860e-10
1.19169684014254657e+05,1.21837099060153036e+05,1.70199997559702693e+05,-1.29368773933154735e+05,-1.02357202733179380e+05,-4.00886042193848407e+05,2.21405238226072164e+05,5.56704240922234850e-10
7.97985204181349836e+04,6.06980243430588962e+04,2.55626284429252322e+05,-9.94146159801117028e+04,-3.92068985284472990e+05,-1.29710109558057011e+05,2.25070881632195495e+05,2.31172493811872952e-09
2.23537290169089916e+05,3.77018194458771904e+04,4.68632969342148514e+05,-1.69835905847469228e+05,-6.38522247139131417e+05,-7.65974981923219166e+04,1.55083572221807059e+05,2.12284726297401846e-09
9.39418846682806616e+04,1.63926642131916888e+05,8.43264216299943510e+04,-5.96601272797838319e+04,-1.84282306601154356e+05,-3.19196343842343136e+05,2.20943829293089773e+05,1.42222868826919500e-09
2.56026932887383067e+05,1.05681218705048392e+05,2.41522861285234743e+05,-4.54545545794158417e+05,-3.97746561775295064e+05,-1.28678221610758483e+05,3.77739316302545834e+05,1.79678653798231680e-10
1.11433040573837410e+05,2.25730027033898456e+05,1.74626765881925850e+05,-3.93986544166300388e+05,-5.01220680079742451e+04,-3.54313632369167986e+05,2.86632411053781165e+05,1.13712817974892017e-10
1.71114486282451369e+05,1.65736231377561780e+05,7.77194533673868864e+04,-3.29520692074635008e+05,-2.83100142732908207e+04,-1.91310976364901697e+05,1.34571511685427569e+05,7.53848105964331163e-10
5.09995809627231560e+05,9.55299077032819332e+04,5.63635003802924475e+04,-9.30294059932762611e+04,-5.71706041689312435e+05,-1.78259023405741114e+05,1.81105253377524030e+05,2.26508609545123835e-09
2.18458614387938491e+05,2.45484484796737088e+04,2.29536241686635854e+05,-2.15549265174663102e+05,-3.93905146589900425e+05,-2.30402587169109844e+05,3.67313694379425200e+05,8.25525043434091880e-10
3.51104625576925464e+04,1.34202176264569745e+05,3.66695929438416497e+05,-1.25312501040488831e+05,-4.65687939593731484e+05,-6.46176345651619267e+04,1.19609506938703358e+05,7.11808515343859423e-09
2.61455037122342095e+05,1.81031430297542945e+05,1.12995271886054397e+05,-1.98269113763585279e+05,-5.07480875656021119e+05,-9.02813106283693924e+04,2.40549560742036090e+05,4.22255225149689991e-10
1.14729156285165780e+05,1.20448419386999594e+05,4.22697958672002656e+05,-2.38138211512630311e+05,-7.36678549631954229e+04,-6.36079751429515192e+05,2.90010283561173419e+05,1.56956074148631576e-10
8.74269911364545842e+04,1.16009173807191837e+05,4.16861016830917855e+05,-1.65998832521508884e+05,-1.40051051721464813e+05,-5.22625956539425242e+05,2.08378659007834387e+05,3.72308372204732677e-10
3.29302410708926735e+05,5.09692655807901174e+04,3.14938983566033654e+05,-1.33866003093305859e+05,-5.70707305740596028e+05,-2.87929995918894361e+05,2.97292644897045742e+05,3.92512850529234189e-10
1.19958632456090752e+05,1.34976265247544565e+05,2.33382936912844074e+05,-8.12007512909545476e+04,-4.67812943588445603e+05,-1.08624227801385292e+05,1.69320088064306066e+05,1.41218259041744387e-09
6.38011780934434937e+04,2.20205726807478204e+05,9.11129200149694370e+04,-1.90103954899978504e+05,-1.19713006413688039e+05,-1.55046911269805947e+05,8.97440476675813261e+04,1.72629350123327410e-09
3.64745549762853479e+04,4.74665973871711059e+05,9.97868303198912909e+04,-6.11854406229963759e+05,-1.78158394745259371e+05,-1.40847186433565250e+05,3.19932628240900696e+05,2.02763584299418890e-10
1.61363447277318424e+05,1.77772919659556414e+05,3.65271994798594038e+05,-2.14709220613696030e+05,-3.79149952145231946e+05,-3.73503064504366776e+05,2.62953875527825963e+05,1.10135369729085499e-10
1.44750545740754984e+05,4.05121724329710589e+05,3.29919490843073872e+04,-5.77432374348828685e+05,-4.04496445108483313e+04,-1.44062980997522332e+05,1.79080780702426302e+05,2.67141465253293231e-10
2.79308731402416830e+05,1.60384319693224446e+05,2.26672729045931483e+05,-2.50378809667336463e+05,-3.87681451819680980e+05,-1.24905987640328618e+05,9.66004689857732446e+04,5.32085519880208085e-10
7.47901114740364865e+04,1.79399658872757718e+05,1.61395923387941439e+05,-6.43054829205216665e+04,-1.59271208692368993e+05,-4.48723010139987338e+05,2.56714008018142340e+05,5.98664707702266867e-10
7.92568996948264248e+04,2.65170708808006020e+05,4.09485711482652259e+04,-5.16046715583555866e+05,-1.05009940060919616e+05,-3.70964494708532729e+04,2.72776925464230939e+05,1.03156549815466696e-09
6.29482274510198476e+04,1.40515714449448336e+05,3.24028148189384839e+05,-2.75116094794850273e+05,-1.04881271139522112e+05,-5.10699094238379737e+05,3.63204370082898764e+05,1.72391262578772100e-10
1.08498765855823644e+05,9.17215445815960557e+04,4.21363841901667183e+05,-2.29364177605879057e+05,-3.07665218827048258e+05,-3.54897330628789088e+05,2.70342574722629623e+05,3.03172033985343209e-10
1.91926119044339925e+05,2.13470087079869118e+05,1.31670777400976309e+05,-8.91659816219251807e+04,-1.80074097721520724e+05,-4.78880844481310924e+05,2.11053940299571841e+05,4.07413792036962937e-10
2.24409049821650726e+05,9.86466480572303990e+04,2.41034549303315987e+05,-7.21289711691106495e+04,-4.45293739545724122e+05,-3.31918418017793680e+05,2.85250881550431310e+05,4.86499761172569868e-10
1.54500535031202249e+05,4.03766583036019001e+05,9.08167356062007020e+04,-1.69580533986218245e+05,-2.26446518370658800e+05,-5.20669357371084567e+05,2.67612556054539629e+05,1.10312320846605838e-10
2.12527946488772344e+05,3.05017782271571050e+05,1.00651126997114581e+05,-5.86925663085557171e+05,-1.62929607782645442e+05,-1.71892559527134435e+05,3.03550974637878884e+05,8.41094142415991186e-11
1.62243380046059145e+05,4.41300156435449433e+05,1.10907219037749106e+05,-7.20079094222794287e+05,-4.91401461031917279e+04,-1.99509638929482317e+05,2.54278123736210924e+05,6.68176075804434053e-11
3.99161779308389232e+04,1.64765728609098587e+05,3.50088494875824370e+05,-2.23284217590449378e+05,-2.22698900187232066e+05,-2.04446111760978383e+05,9.56588281228980632e+04,1.88316544685699121e-09
4.30994279754563322e+04,3.73929496154904657e+05,1.92837199720770906e+05,-1.54588072663296422e+05,-2.73606032090116234e+05,-5.42890049376445008e+05,3.61218030278725433e+05,8.66581350730337446e-11
4.94983482369846373e+05,3.92497719653978711e+04,5.52941355930648861e+04,-3.87475376321350748e+05,-2.31010112385329528e+05,-7.06416582498766074e+04,9.95997570282475790e+04,6.12851286132895239e-09
2.87695510098644707e+05,7.90373949509298691e+04,3.37220624717953731e+05,-1.03256313643820351e+05,-7.12742945500264177e+05,-1.54482181703876471e+05,2.66527911080432183e+05,4.03317719795995016e-10
1.10122811145773376e+05,4.95136914319173316e+05,1.25818502856115578e+05,-3.61710031957437808e+05,-2.56588362065210356e+05,-2.21900843632793898e+05,1.09121009334379953e+05,1.81300858638967013e-10
5.72920308196205006e+04,5.12939722237394657e+05,1.03245499138933112e+05,-5.69007723906427738e+05,-5.83105040118382021e+04,-2.04369083414689754e+05,1.58210059137007280e+05,2.01573125741344774e-10
3.20098364515591238e+05,1.52674676402114070e+05,4.59344077313733578e+04,-2.61140353486587032e+05,-2.93418658667899901e+05,-8.26258030896898708e+04,1.18477366595097628e+05,1.58296678876495000e-09
