"s12","s13","s23","u1","u2","u3","Q2","madgraph_azimuthal_average","local_projected_matrix_element","signed_difference","relative_difference"
44884.93933229052,646293.306012025,45878.838774014905,-64627.60077500433,-77617.44967960083,-731887.216500238,137075.18283651263,5.73599727789561e-10,5.735997277895588e-10,-2.274746684520826e-24,"3.965738779700698e-15"
99796.98274840167,44606.6825701667,404581.3607210213,-140530.1274277756,-474679.7148507974,-103209.63210277839,169434.4483417616,3.1900535934646963e-9,3.190053593464694e-9,-2.481541837659083e-24,"7.778997327013233e-16"
297724.0643675393,301317.07053116325,53861.14419864834,-615902.0333251657,-92899.49627073799,-279230.05357134127,335129.30406989437,7.761754605995797e-11,7.761754605996111e-11,3.140701388287277e-24,"4.046380680292343e-14"
246161.75063570024,149795.17190256817,181138.58494235392,-222285.1502865089,-141126.78381857337,-411495.52872636216,197811.95535082195,2.35704106051207e-10,2.3570410605120776e-10,7.754818242684634e-25,"3.2900649770606312e-15"
80107.78788427977,266887.0994398657,350031.8306977748,-266073.3297276071,-570740.0696471288,-140843.9189258142,280630.6002786293,2.480654297110521e-10,2.4806542971104975e-10,-2.3264454728053903e-24,"9.378354233055555e-15"
38762.23497477868,43560.84267516376,336104.77187216183,-100759.47621506854,-55331.69242328612,-604829.4644252866,342492.78354153724,1.3752369744678281e-9,1.3752369744678234e-9,-4.756288522179909e-24,"3.458522865864945e-15"
57413.038553215214,420301.78126047517,111009.84510176536,-405154.09935335245,-208541.56240835213,-127433.03228255545,152404.02912880434,4.1058674274953386e-10,4.1058674274953246e-10,-1.3958672836832342e-24,"3.399689123754152e-15"
119169.68401425466,121837.09906015304,170199.9975597027,-129368.77393315473,-102357.20273317938,-400886.0421938484,221405.23822607216,5.567042409222349e-10,5.567042409222343e-10,-5.169878828456423e-25,"9.28658064449449e-16"
79798.52041813498,60698.024343058896,255626.28442925232,-99414.6159801117,-392068.985284473,-129710.10955805701,225070.8816321955,2.3117249381187295e-9,2.311724938118725e-9,-4.549493369041652e-24,"1.9680080852283434e-15"
223537.29016908992,37701.81944587719,468632.9693421485,-169835.90584746923,-638522.2471391314,-76597.49819232192,155083.57222180706,2.1228472629740185e-9,2.122847262974003e-9,-1.5302841332231012e-23,"7.208639829693817e-15"
93941.88466828066,163926.6421319169,84326.42162999435,-59660.12727978383,-184282.30660115436,-319196.34384234314,220943.82929308977,1.422228688269195e-9,1.4222286882691995e-9,4.549493369041652e-24,"3.198847981739294e-15"
256026.93288738307,105681.21870504839,241522.86128523474,-454545.5457941584,-397746.56177529506,-128678.22161075848,377739.31630254583,1.7967865379823168e-10,1.796786537982265e-10,-5.169878828456423e-24,"2.877291608752749e-14"
111433.04057383741,225730.02703389846,174626.76588192585,-393986.5441663004,-50122.068007974245,-354313.632369168,286632.41105378116,1.1371281797489202e-10,1.1371281797489208e-10,6.462348535570529e-26,"5.683043170205686e-16"
171114.48628245137,165736.23137756178,77719.45336738689,-329520.692074635,-28310.01427329082,-191310.9763649017,134571.51168542757,7.538481059643312e-10,7.538481059643344e-10,3.2053248736429822e-24,"4.251950556462141e-15"
509995.80962723156,95529.90770328193,56363.50038029245,-93029.40599327626,-571706.0416893124,-178259.0234057411,181105.25337752403,2.2650860954512384e-9,2.2650860954512284e-9,-9.926167350636332e-24,"4.382247266702193e-15"
218458.6143879385,24548.44847967371,229536.24168663585,-215549.2651746631,-393905.1465899004,-230402.58716910984,367313.6943794252,8.255250434340919e-10,8.255250434340883e-10,-3.618915179919496e-24,"4.383773949322256e-15"
