"S05_START ""export"
"S05_PREPARE ""Hqqprime_F1_PrimeChargeSquared_Regular_1"" leaves="9934
"S05_REGULAR_EXACT ""F1_PrimeChargeSquared_Regular"" leaves="9829
"S05_OPTIMIZE ""Hqqprime_F1_PrimeChargeSquared_Regular_1"" leaves="9829
"S05_EXPORTED ""Hqqprime_F1_PrimeChargeSquared_Regular_1"" optimized="5162
"S05_PREPARE ""Hqqprime_F1_PrimeChargeSquared_Regular_m1"" leaves="9934
"S05_REGULAR_EXACT ""F1_PrimeChargeSquared_Regular"" leaves="9829
"S05_OPTIMIZE ""Hqqprime_F1_PrimeChargeSquared_Regular_m1"" leaves="9829
"S05_EXPORTED ""Hqqprime_F1_PrimeChargeSquared_Regular_m1"" optimized="5162
"S05_PREPARE ""Hqqprime_F1_MixedIncomingPrimeCharge_Regular_1"" leaves="10059
"S05_REGULAR_EXACT ""F1_MixedIncomingPrimeCharge_Regular"" leaves="9863
"S05_OPTIMIZE ""Hqqprime_F1_MixedIncomingPrimeCharge_Regular_1"" leaves="9863
"S05_EXPORTED ""Hqqprime_F1_MixedIncomingPrimeCharge_Regular_1"" optimized="5021
"S05_PREPARE ""Hqqprime_F1_MixedIncomingPrimeCharge_Regular_m1"" leaves="10059
"S05_REGULAR_EXACT ""F1_MixedIncomingPrimeCharge_Regular"" leaves="9863
"S05_OPTIMIZE ""Hqqprime_F1_MixedIncomingPrimeCharge_Regular_m1"" leaves="9863
"S05_EXPORTED ""Hqqprime_F1_MixedIncomingPrimeCharge_Regular_m1"" optimized="5021
"S05_PREPARE ""Hqqprime_F1_IncomingChargeSquared_Regular_1"" leaves="8735
"S05_REGULAR_EXACT ""F1_IncomingChargeSquared_Regular"" leaves="8630
"S05_OPTIMIZE ""Hqqprime_F1_IncomingChargeSquared_Regular_1"" leaves="8630
"S05_EXPORTED ""Hqqprime_F1_IncomingChargeSquared_Regular_1"" optimized="4534
"S05_PREPARE ""Hqqprime_F1_IncomingChargeSquared_Regular_m1"" leaves="8735
"S05_REGULAR_EXACT ""F1_IncomingChargeSquared_Regular"" leaves="8630
"S05_OPTIMIZE ""Hqqprime_F1_IncomingChargeSquared_Regular_m1"" leaves="8630
"S05_EXPORTED ""Hqqprime_F1_IncomingChargeSquared_Regular_m1"" optimized="4534
"S05_PREPARE ""Hqqprime_F2_PrimeChargeSquared_Regular_1"" leaves="9939
"S05_REGULAR_EXACT ""F2_PrimeChargeSquared_Regular"" leaves="9834
"S05_OPTIMIZE ""Hqqprime_F2_PrimeChargeSquared_Regular_1"" leaves="9834
"S05_EXPORTED ""Hqqprime_F2_PrimeChargeSquared_Regular_1"" optimized="5167
"S05_PREPARE ""Hqqprime_F2_PrimeChargeSquared_Regular_m1"" leaves="9939
"S05_REGULAR_EXACT ""F2_PrimeChargeSquared_Regular"" leaves="9834
"S05_OPTIMIZE ""Hqqprime_F2_PrimeChargeSquared_Regular_m1"" leaves="9834
"S05_EXPORTED ""Hqqprime_F2_PrimeChargeSquared_Regular_m1"" optimized="5167
"S05_PREPARE ""Hqqprime_F2_MixedIncomingPrimeCharge_Regular_1"" leaves="10064
"S05_REGULAR_EXACT ""F2_MixedIncomingPrimeCharge_Regular"" leaves="9868
"S05_OPTIMIZE ""Hqqprime_F2_MixedIncomingPrimeCharge_Regular_1"" leaves="9868
"S05_EXPORTED ""Hqqprime_F2_MixedIncomingPrimeCharge_Regular_1"" optimized="5020
"S05_PREPARE ""Hqqprime_F2_MixedIncomingPrimeCharge_Regular_m1"" leaves="10064
"S05_REGULAR_EXACT ""F2_MixedIncomingPrimeCharge_Regular"" leaves="9868
"S05_OPTIMIZE ""Hqqprime_F2_MixedIncomingPrimeCharge_Regular_m1"" leaves="9868
"S05_EXPORTED ""Hqqprime_F2_MixedIncomingPrimeCharge_Regular_m1"" optimized="5020
"S05_PREPARE ""Hqqprime_F2_IncomingChargeSquared_Regular_1"" leaves="8740
"S05_REGULAR_EXACT ""F2_IncomingChargeSquared_Regular"" leaves="8635
"S05_OPTIMIZE ""Hqqprime_F2_IncomingChargeSquared_Regular_1"" leaves="8635
"S05_EXPORTED ""Hqqprime_F2_IncomingChargeSquared_Regular_1"" optimized="4533
"S05_PREPARE ""Hqqprime_F2_IncomingChargeSquared_Regular_m1"" leaves="8740
"S05_REGULAR_EXACT ""F2_IncomingChargeSquared_Regular"" leaves="8635
"S05_OPTIMIZE ""Hqqprime_F2_IncomingChargeSquared_Regular_m1"" leaves="8635
"S05_EXPORTED ""Hqqprime_F2_IncomingChargeSquared_Regular_m1"" optimized="4533
"S05_CHANNEL_DONE ""Hqqprime"
"S05_SUCCESS ""Hqqprime"
