"S05_START ""export"
"S05_PREPARE ""Hqg_v3_F1_LODelta_1"" leaves="90
"S05_OPTIMIZE ""Hqg_v3_F1_LODelta_1"" leaves="81
"S05_EXPORTED ""Hqg_v3_F1_LODelta_1"" optimized="91
"S05_PREPARE ""Hqg_v3_F1_Delta_1"" leaves="680037
"S05_OPTIMIZE ""Hqg_v3_F1_Delta_1"" leaves="293504
"S05_EXPORTED ""Hqg_v3_F1_Delta_1"" optimized="87712
"S05_PREPARE ""Hqg_v3_F1_L0_1"" leaves="21313
"S05_OPTIMIZE ""Hqg_v3_F1_L0_1"" leaves="7594
"S05_EXPORTED ""Hqg_v3_F1_L0_1"" optimized="3201
"S05_PREPARE ""Hqg_v3_F1_L1_1"" leaves="577
"S05_OPTIMIZE ""Hqg_v3_F1_L1_1"" leaves="216
"S05_EXPORTED ""Hqg_v3_F1_L1_1"" optimized="162
"S05_PREPARE ""Hqg_v3_F1_Regular_1"" leaves="292994
"S05_OPTIMIZE ""Hqg_v3_F1_Regular_1"" leaves="182254
"S05_EXPORTED ""Hqg_v3_F1_Regular_1"" optimized="58763
"S05_PREPARE ""Hqg_v3_F1_LODelta_m1"" leaves="90
"S05_OPTIMIZE ""Hqg_v3_F1_LODelta_m1"" leaves="81
"S05_EXPORTED ""Hqg_v3_F1_LODelta_m1"" optimized="91
"S05_PREPARE ""Hqg_v3_F1_Delta_m1"" leaves="766503
"S05_OPTIMIZE ""Hqg_v3_F1_Delta_m1"" leaves="333921
"S05_EXPORTED ""Hqg_v3_F1_Delta_m1"" optimized="88083
"S05_PREPARE ""Hqg_v3_F1_L0_m1"" leaves="23215
"S05_OPTIMIZE ""Hqg_v3_F1_L0_m1"" leaves="8320
"S05_EXPORTED ""Hqg_v3_F1_L0_m1"" optimized="3269
"S05_PREPARE ""Hqg_v3_F1_L1_m1"" leaves="640
"S05_OPTIMIZE ""Hqg_v3_F1_L1_m1"" leaves="240
"S05_EXPORTED ""Hqg_v3_F1_L1_m1"" optimized="168
"S05_PREPARE ""Hqg_v3_F1_Regular_m1"" leaves="321593
"S05_OPTIMIZE ""Hqg_v3_F1_Regular_m1"" leaves="201178
"S05_EXPORTED ""Hqg_v3_F1_Regular_m1"" optimized="58844
"S05_PREPARE ""Hqg_v3_F2_LODelta_1"" leaves="102
"S05_OPTIMIZE ""Hqg_v3_F2_LODelta_1"" leaves="96
"S05_EXPORTED ""Hqg_v3_F2_LODelta_1"" optimized="102
"S05_PREPARE ""Hqg_v3_F2_Delta_1"" leaves="680044
"S05_OPTIMIZE ""Hqg_v3_F2_Delta_1"" leaves="293491
"S05_EXPORTED ""Hqg_v3_F2_Delta_1"" optimized="87694
"S05_PREPARE ""Hqg_v3_F2_L0_1"" leaves="21313
"S05_OPTIMIZE ""Hqg_v3_F2_L0_1"" leaves="7601
"S05_EXPORTED ""Hqg_v3_F2_L0_1"" optimized="3208
"S05_PREPARE ""Hqg_v3_F2_L1_1"" leaves="582
"S05_OPTIMIZE ""Hqg_v3_F2_L1_1"" leaves="222
"S05_EXPORTED ""Hqg_v3_F2_L1_1"" optimized="168
"S05_PREPARE ""Hqg_v3_F2_Regular_1"" leaves="292969
"S05_OPTIMIZE ""Hqg_v3_F2_Regular_1"" leaves="182261
"S05_EXPORTED ""Hqg_v3_F2_Regular_1"" optimized="58766
"S05_PREPARE ""Hqg_v3_F2_LODelta_m1"" leaves="102
"S05_OPTIMIZE ""Hqg_v3_F2_LODelta_m1"" leaves="96
"S05_EXPORTED ""Hqg_v3_F2_LODelta_m1"" optimized="102
"S05_PREPARE ""Hqg_v3_F2_Delta_m1"" leaves="766509
"S05_OPTIMIZE ""Hqg_v3_F2_Delta_m1"" leaves="333908
"S05_EXPORTED ""Hqg_v3_F2_Delta_m1"" optimized="88048
"S05_PREPARE ""Hqg_v3_F2_L0_m1"" leaves="23222
"S05_OPTIMIZE ""Hqg_v3_F2_L0_m1"" leaves="8327
"S05_EXPORTED ""Hqg_v3_F2_L0_m1"" optimized="3276
"S05_PREPARE ""Hqg_v3_F2_L1_m1"" leaves="647
"S05_OPTIMIZE ""Hqg_v3_F2_L1_m1"" leaves="246
"S05_EXPORTED ""Hqg_v3_F2_L1_m1"" optimized="174
"S05_PREPARE ""Hqg_v3_F2_Regular_m1"" leaves="321568
"S05_OPTIMIZE ""Hqg_v3_F2_Regular_m1"" leaves="201185
"S05_EXPORTED ""Hqg_v3_F2_Regular_m1"" optimized="58847
"S05_CHANNEL_DONE ""Hqg_v3"
