"S05_START ""export"
"S05_PREPARE ""Hqq_v2_F1Hat_LODelta_1"" leaves="162
"S05_OPTIMIZE ""Hqq_v2_F1Hat_LODelta_1"" leaves="132
"S05_EXPORTED ""Hqq_v2_F1Hat_LODelta_1"" optimized="113
"S05_PREPARE ""Hqq_v2_F1Hat_Delta_1"" leaves="2964764
"S05_OPTIMIZE ""Hqq_v2_F1Hat_Delta_1"" leaves="696524
"S05_EXPORTED ""Hqq_v2_F1Hat_Delta_1"" optimized="260294
"S05_PREPARE ""Hqq_v2_F1Hat_L0_1"" leaves="9163
"S05_OPTIMIZE ""Hqq_v2_F1Hat_L0_1"" leaves="2889
"S05_EXPORTED ""Hqq_v2_F1Hat_L0_1"" optimized="1169
"S05_PREPARE ""Hqq_v2_F1Hat_L1_1"" leaves="607
"S05_OPTIMIZE ""Hqq_v2_F1Hat_L1_1"" leaves="147
"S05_EXPORTED ""Hqq_v2_F1Hat_L1_1"" optimized="123
"S05_PREPARE ""Hqq_v2_F1Hat_Regular_1"" leaves="7506981
"S05_OPTIMIZE ""Hqq_v2_F1Hat_Regular_1"" leaves="2368765
"S05_EXPORTED ""Hqq_v2_F1Hat_Regular_1"" optimized="606686
"S05_PREPARE ""Hqq_v2_F1Hat_LODelta_m1"" leaves="162
"S05_OPTIMIZE ""Hqq_v2_F1Hat_LODelta_m1"" leaves="132
"S05_EXPORTED ""Hqq_v2_F1Hat_LODelta_m1"" optimized="113
"S05_PREPARE ""Hqq_v2_F1Hat_Delta_m1"" leaves="2964764
"S05_OPTIMIZE ""Hqq_v2_F1Hat_Delta_m1"" leaves="738738
"S05_EXPORTED ""Hqq_v2_F1Hat_Delta_m1"" optimized="260329
"S05_PREPARE ""Hqq_v2_F1Hat_L0_m1"" leaves="9163
"S05_OPTIMIZE ""Hqq_v2_F1Hat_L0_m1"" leaves="2889
"S05_EXPORTED ""Hqq_v2_F1Hat_L0_m1"" optimized="1169
"S05_PREPARE ""Hqq_v2_F1Hat_L1_m1"" leaves="607
"S05_OPTIMIZE ""Hqq_v2_F1Hat_L1_m1"" leaves="147
"S05_EXPORTED ""Hqq_v2_F1Hat_L1_m1"" optimized="123
"S05_PREPARE ""Hqq_v2_F1Hat_Regular_m1"" leaves="7506981
"S05_OPTIMIZE ""Hqq_v2_F1Hat_Regular_m1"" leaves="2370629
"S05_EXPORTED ""Hqq_v2_F1Hat_Regular_m1"" optimized="606686
"S05_PREPARE ""Hqq_v2_F2Hat_LODelta_1"" leaves="163
"S05_OPTIMIZE ""Hqq_v2_F2Hat_LODelta_1"" leaves="131
"S05_EXPORTED ""Hqq_v2_F2Hat_LODelta_1"" optimized="112
"S05_PREPARE ""Hqq_v2_F2Hat_Delta_1"" leaves="2964763
"S05_OPTIMIZE ""Hqq_v2_F2Hat_Delta_1"" leaves="696523
"S05_EXPORTED ""Hqq_v2_F2Hat_Delta_1"" optimized="260293
"S05_PREPARE ""Hqq_v2_F2Hat_L0_1"" leaves="9308
"S05_OPTIMIZE ""Hqq_v2_F2Hat_L0_1"" leaves="2943
"S05_EXPORTED ""Hqq_v2_F2Hat_L0_1"" optimized="1223
"S05_PREPARE ""Hqq_v2_F2Hat_L1_1"" leaves="622
"S05_OPTIMIZE ""Hqq_v2_F2Hat_L1_1"" leaves="152
"S05_EXPORTED ""Hqq_v2_F2Hat_L1_1"" optimized="128
"S05_PREPARE ""Hqq_v2_F2Hat_Regular_1"" leaves="7506980
"S05_OPTIMIZE ""Hqq_v2_F2Hat_Regular_1"" leaves="2368764
"S05_EXPORTED ""Hqq_v2_F2Hat_Regular_1"" optimized="606685
"S05_PREPARE ""Hqq_v2_F2Hat_LODelta_m1"" leaves="163
"S05_OPTIMIZE ""Hqq_v2_F2Hat_LODelta_m1"" leaves="131
"S05_EXPORTED ""Hqq_v2_F2Hat_LODelta_m1"" optimized="112
"S05_PREPARE ""Hqq_v2_F2Hat_Delta_m1"" leaves="2964763
"S05_OPTIMIZE ""Hqq_v2_F2Hat_Delta_m1"" leaves="738737
"S05_EXPORTED ""Hqq_v2_F2Hat_Delta_m1"" optimized="260328
"S05_PREPARE ""Hqq_v2_F2Hat_L0_m1"" leaves="9308
"S05_OPTIMIZE ""Hqq_v2_F2Hat_L0_m1"" leaves="2943
"S05_EXPORTED ""Hqq_v2_F2Hat_L0_m1"" optimized="1223
"S05_PREPARE ""Hqq_v2_F2Hat_L1_m1"" leaves="622
"S05_OPTIMIZE ""Hqq_v2_F2Hat_L1_m1"" leaves="152
"S05_EXPORTED ""Hqq_v2_F2Hat_L1_m1"" optimized="128
"S05_PREPARE ""Hqq_v2_F2Hat_Regular_m1"" leaves="7506980
"S05_OPTIMIZE ""Hqq_v2_F2Hat_Regular_m1"" leaves="2370628
"S05_EXPORTED ""Hqq_v2_F2Hat_Regular_m1"" optimized="606685
"S05_CHANNEL_DONE ""Hqq_v2"
