"S05_START ""export"
"S05_PREPARE ""Hqg_v3_F1_LODelta_1"" leaves="90
"S05_COMPACT_RATIONAL ""F1_LODelta"" leaves="81
"S05_OPTIMIZE ""Hqg_v3_F1_LODelta_1"" leaves="81
"S05_EXPORTED ""Hqg_v3_F1_LODelta_1"" optimized="91
"S05_PREPARE ""Hqg_v3_F1_Delta_1"" leaves="680037
"S05_COMPACT_START ""F1_Delta"" atoms="58" leaves="276443
"S05_COEFFICIENT_START ""F1_Delta"" "1" leaves="2237
"S05_COEFFICIENT_START ""F1_Delta"" "2" leaves="2697
"S05_COEFFICIENT_START ""F1_Delta"" "3" leaves="1274
"S05_COEFFICIENT_START ""F1_Delta"" "4" leaves="1422
"S05_COEFFICIENT_START ""F1_Delta"" "5" leaves="1274
"S05_COEFFICIENT_START ""F1_Delta"" "6" leaves="557
"S05_COEFFICIENT_START ""F1_Delta"" "7" leaves="538
"S05_COEFFICIENT_START ""F1_Delta"" "8" leaves="639
"S05_COEFFICIENT_START ""F1_Delta"" "9" leaves="961
"S05_COEFFICIENT_START ""F1_Delta"" "10" leaves="1835
"S05_COEFFICIENT_START ""F1_Delta"" "11" leaves="2472
"S05_COEFFICIENT_START ""F1_Delta"" "12" leaves="1938
"S05_COEFFICIENT_START ""F1_Delta"" "13" leaves="393
"S05_COEFFICIENT_START ""F1_Delta"" "14" leaves="330
"S05_COEFFICIENT_START ""F1_Delta"" "15" leaves="1944
"S05_COEFFICIENT_START ""F1_Delta"" "16" leaves="698
"S05_COEFFICIENT_START ""F1_Delta"" "17" leaves="115
"S05_COEFFICIENT_START ""F1_Delta"" "18" leaves="115
"S05_COEFFICIENT_START ""F1_Delta"" "19" leaves="115
"S05_COEFFICIENT_START ""F1_Delta"" "20" leaves="115
"S05_COEFFICIENT_START ""F1_Delta"" "21" leaves="902
"S05_COEFFICIENT_START ""F1_Delta"" "22" leaves="1822
"S05_COEFFICIENT_START ""F1_Delta"" "23" leaves="14
"S05_COEFFICIENT_START ""F1_Delta"" "24" leaves="1572
"S05_COEFFICIENT_START ""F1_Delta"" "25" leaves="854
"S05_COEFFICIENT_START ""F1_Delta"" "26" leaves="418
"S05_COEFFICIENT_START ""F1_Delta"" "27" leaves="115
"S05_COEFFICIENT_START ""F1_Delta"" "28" leaves="304
"S05_COEFFICIENT_START ""F1_Delta"" "29" leaves="115
"S05_COEFFICIENT_START ""F1_Delta"" "30" leaves="313
"S05_COEFFICIENT_START ""F1_Delta"" "31" leaves="65
"S05_COEFFICIENT_START ""F1_Delta"" "32" leaves="3654
"S05_COEFFICIENT_START ""F1_Delta"" "33" leaves="1494
"S05_COEFFICIENT_START ""F1_Delta"" "34" leaves="1100
"S05_COEFFICIENT_START ""F1_Delta"" "35" leaves="289
"S05_COEFFICIENT_START ""F1_Delta"" "36" leaves="41
"S05_COEFFICIENT_START ""F1_Delta"" "37" leaves="996
"S05_COEFFICIENT_START ""F1_Delta"" "38" leaves="12
"S05_COEFFICIENT_START ""F1_Delta"" "39" leaves="12
"S05_COEFFICIENT_START ""F1_Delta"" "40" leaves="1779
"S05_COEFFICIENT_START ""F1_Delta"" "41" leaves="87
"S05_COEFFICIENT_START ""F1_Delta"" "42" leaves="27
"S05_COEFFICIENT_START ""F1_Delta"" "43" leaves="185
"S05_COEFFICIENT_START ""F1_Delta"" "44" leaves="648
"S05_COEFFICIENT_START ""F1_Delta"" "45" leaves="123
"S05_COEFFICIENT_START ""F1_Delta"" "46" leaves="185
"S05_COEFFICIENT_START ""F1_Delta"" "47" leaves="15
"S05_COEFFICIENT_START ""F1_Delta"" "48" leaves="14
"S05_COEFFICIENT_START ""F1_Delta"" "49" leaves="242
"S05_COEFFICIENT_START ""F1_Delta"" "50" leaves="103
"S05_COEFFICIENT_START ""F1_Delta"" "51" leaves="1470
"S05_COEFFICIENT_START ""F1_Delta"" "52" leaves="1479
"S05_COEFFICIENT_START ""F1_Delta"" "53" leaves="115
"S05_COEFFICIENT_START ""F1_Delta"" "54" leaves="304
"S05_COEFFICIENT_START ""F1_Delta"" "55" leaves="114
"S05_COEFFICIENT_START ""F1_Delta"" "56" leaves="397
"S05_COEFFICIENT_START ""F1_Delta"" "57" leaves="91
"S05_COEFFICIENT_START ""F1_Delta"" "58" leaves="425
"S05_COEFFICIENT_START ""F1_Delta"" "59" leaves="103
"S05_COEFFICIENT_START ""F1_Delta"" "60" leaves="856
"S05_COEFFICIENT_START ""F1_Delta"" "61" leaves="832
"S05_COEFFICIENT_START ""F1_Delta"" "62" leaves="115
"S05_COEFFICIENT_START ""F1_Delta"" "63" leaves="304
"S05_COEFFICIENT_START ""F1_Delta"" "64" leaves="115
"S05_COEFFICIENT_START ""F1_Delta"" "65" leaves="335
"S05_COEFFICIENT_START ""F1_Delta"" "66" leaves="91
"S05_COEFFICIENT_START ""F1_Delta"" "67" leaves="243
"S05_COEFFICIENT_START ""F1_Delta"" "68" leaves="2207
"S05_COEFFICIENT_START ""F1_Delta"" "69" leaves="1033
"S05_COEFFICIENT_START ""F1_Delta"" "70" leaves="2207
"S05_COEFFICIENT_START ""F1_Delta"" "71" leaves="2046
"S05_COEFFICIENT_START ""F1_Delta"" "72" leaves="1556
"S05_COEFFICIENT_START ""F1_Delta"" "73" leaves="1218
"S05_COEFFICIENT_START ""F1_Delta"" "74" leaves="1503
"S05_COEFFICIENT_START ""F1_Delta"" "75" leaves="1316
"S05_COEFFICIENT_START ""F1_Delta"" "76" leaves="6018
"S05_COEFFICIENT_START ""F1_Delta"" "77" leaves="110
"S05_COEFFICIENT_START ""F1_Delta"" "78" leaves="2001
