"S05_START ""export"
"S05_PREPARE ""Hqg_v3_F2_LODelta_m1"" leaves="102
"S05_REGULAR_EXACT ""F2_LODelta"" leaves="96
"S05_OPTIMIZE ""Hqg_v3_F2_LODelta_m1"" leaves="96
"S05_EXPORTED ""Hqg_v3_F2_LODelta_m1"" optimized="102
"S05_PREPARE ""Hqg_v3_F2_Delta_m1"" leaves="807815
"S05_REGULAR_EXACT ""F2_Delta"" leaves="347219
"S05_OPTIMIZE ""Hqg_v3_F2_Delta_m1"" leaves="347219
"S05_EXPORTED ""Hqg_v3_F2_Delta_m1"" optimized="91493
"S05_PREPARE ""Hqg_v3_F2_L0_m1"" leaves="23222
"S05_REGULAR_EXACT ""F2_L0"" leaves="8327
"S05_OPTIMIZE ""Hqg_v3_F2_L0_m1"" leaves="8327
"S05_EXPORTED ""Hqg_v3_F2_L0_m1"" optimized="3276
"S05_PREPARE ""Hqg_v3_F2_L1_m1"" leaves="647
"S05_REGULAR_EXACT ""F2_L1"" leaves="246
"S05_OPTIMIZE ""Hqg_v3_F2_L1_m1"" leaves="246
"S05_EXPORTED ""Hqg_v3_F2_L1_m1"" optimized="174
"S05_PREPARE ""Hqg_v3_F2_Regular_m1"" leaves="321568
"S05_REGULAR_EXACT ""F2_Regular"" leaves="201185
"S05_OPTIMIZE ""Hqg_v3_F2_Regular_m1"" leaves="201185
"S05_EXPORTED ""Hqg_v3_F2_Regular_m1"" optimized="58847
"S05_CHANNEL_DONE ""Hqg_v3"
