{'Q2': 4, 's': 10, 's23': 1, 't': -3, 'mu2': 2} all-coefficient relative differences [5.4057865340196327e-14, 3.461958380901937e-14]
{'Q2': 4, 's': 10, 's23': 1, 't': -3, 'mu2': 4} all-coefficient relative differences [1.9652339858357641e-13, 5.32977901502894e-14]
{'Q2': 4, 's': 10, 's23': 1, 't': -3, 'mu2': 8} all-coefficient relative differences [3.848355226917998e-14, 1.5135846044653303e-14]
{'Q2': 4, 's': 10, 's23': 1.5, 't': -3, 'mu2': 2} all-coefficient relative differences [3.740520052556078e-14, 3.7681562789100466e-14]
{'Q2': 4, 's': 10, 's23': 1.5, 't': -3, 'mu2': 4} all-coefficient relative differences [6.262467303959974e-13, 2.855294338391898e-14]
{'Q2': 4, 's': 10, 's23': 1.5, 't': -3, 'mu2': 8} all-coefficient relative differences [5.071144635012101e-14, 1.5229129028427553e-14]
{'Q2': 4, 's': 10, 's23': 1, 't': -12, 'mu2': 2} all-coefficient relative differences [4.470050347569839e-16, 1.9855874903283106e-16]
{'Q2': 4, 's': 10, 's23': 1, 't': -12, 'mu2': 4} all-coefficient relative differences [5.20400813676588e-16, 3.000601128960757e-16]
{'Q2': 4, 's': 10, 's23': 1, 't': -12, 'mu2': 8} all-coefficient relative differences [7.086818572114435e-16, 1.2056371675800532e-16]
{'Q2': 4, 's': 10, 's23': 1.5, 't': -12, 'mu2': 2} all-coefficient relative differences [1.056611507017253e-15, 6.442721522150346e-16]
{'Q2': 4, 's': 10, 's23': 1.5, 't': -12, 'mu2': 4} all-coefficient relative differences [5.463695233804803e-16, 3.254917478653559e-16]
{'Q2': 4, 's': 10, 's23': 1.5, 't': -12, 'mu2': 8} all-coefficient relative differences [5.950006752756649e-16, 2.62031135658859e-16]
{'Q2': 4, 's': 10, 's23': 1, 't': -10, 'mu2': 2} all-coefficient relative differences [4.307046413540907e-16, 2.7068194436378914e-15]
{'Q2': 4, 's': 10, 's23': 1, 't': -10, 'mu2': 4} all-coefficient relative differences [3.80585902052103e-16, 1.8796800723378932e-15]
{'Q2': 4, 's': 10, 's23': 1, 't': -10, 'mu2': 8} all-coefficient relative differences [2.845984259281224e-16, 1.3224951182970976e-15]
{'Q2': 4, 's': 10, 's23': 1.5, 't': -10, 'mu2': 2} all-coefficient relative differences [1.7437485071103093e-15, 7.373358247215252e-15]
{'Q2': 4, 's': 10, 's23': 1.5, 't': -10, 'mu2': 4} all-coefficient relative differences [4.0898033149300484e-16, 2.445344341841666e-15]
{'Q2': 4, 's': 10, 's23': 1.5, 't': -10, 'mu2': 8} all-coefficient relative differences [4.339627671137483e-16, 2.174444986121355e-15]
All-coefficient agreement: True 6.262467303959974e-13
Regular-only discrepancy retained: True
