A {'Q2': 4, 's': 10, 's23': 1, 't': -3, 'mu2': 2} all-coefficient relative differences [8.942283708674788e-15, 3.150364201525163e-14]
B {'Q2': 4, 's': 10, 's23': 1, 't': -3, 'mu2': 2} all-coefficient relative differences [1.2237862745820254e-14, 1.0816660830979476e-14]
C {'Q2': 4, 's': 10, 's23': 1, 't': -3, 'mu2': 2} all-coefficient relative differences [4.097914501943293e-13, 6.93035573950283e-14]
A {'Q2': 4, 's': 10, 's23': 1, 't': -3, 'mu2': 4} all-coefficient relative differences [5.633490124881377e-15, 1.8440118560422787e-14]
B {'Q2': 4, 's': 10, 's23': 1, 't': -3, 'mu2': 4} all-coefficient relative differences [7.763805397885967e-15, 8.6837981319131e-15]
C {'Q2': 4, 's': 10, 's23': 1, 't': -3, 'mu2': 4} all-coefficient relative differences [5.207676987629308e-14, 2.0351840106955948e-14]
A {'Q2': 4, 's': 10, 's23': 1, 't': -3, 'mu2': 8} all-coefficient relative differences [5.285345843442702e-15, 1.4518515805163255e-14]
B {'Q2': 4, 's': 10, 's23': 1, 't': -3, 'mu2': 8} all-coefficient relative differences [1.8817358845723616e-14, 1.6910554256883405e-14]
C {'Q2': 4, 's': 10, 's23': 1, 't': -3, 'mu2': 8} all-coefficient relative differences [2.7142442135364884e-14, 1.2676881038845198e-14]
A {'Q2': 4, 's': 10, 's23': 1.5, 't': -3, 'mu2': 2} all-coefficient relative differences [2.0386074489301325e-14, 1.4665705621898615e-13]
B {'Q2': 4, 's': 10, 's23': 1.5, 't': -3, 'mu2': 2} all-coefficient relative differences [1.2801740739039912e-14, 8.312385688925916e-15]
C {'Q2': 4, 's': 10, 's23': 1.5, 't': -3, 'mu2': 2} all-coefficient relative differences [1.1824700470859072e-13, 6.296646351421217e-14]
A {'Q2': 4, 's': 10, 's23': 1.5, 't': -3, 'mu2': 4} all-coefficient relative differences [9.22039433225766e-15, 3.387529119974982e-14]
B {'Q2': 4, 's': 10, 's23': 1.5, 't': -3, 'mu2': 4} all-coefficient relative differences [3.657640211154247e-15, 5.541590459283944e-16]
C {'Q2': 4, 's': 10, 's23': 1.5, 't': -3, 'mu2': 4} all-coefficient relative differences [7.648044628456195e-14, 1.6449893621459448e-14]
A {'Q2': 4, 's': 10, 's23': 1.5, 't': -3, 'mu2': 8} all-coefficient relative differences [6.398016815660829e-15, 1.9027072589194577e-14]
B {'Q2': 4, 's': 10, 's23': 1.5, 't': -3, 'mu2': 8} all-coefficient relative differences [4.023404232269687e-15, 5.726310141260076e-15]
C {'Q2': 4, 's': 10, 's23': 1.5, 't': -3, 'mu2': 8} all-coefficient relative differences [3.464459007582461e-14, 1.0867454181085624e-14]
A {'Q2': 4, 's': 10, 's23': 1, 't': -12, 'mu2': 2} all-coefficient relative differences [2.935665076221247e-16, 1.4032324270220243e-15]
B {'Q2': 4, 's': 10, 's23': 1, 't': -12, 'mu2': 2} all-coefficient relative differences [1.892564598956968e-13, 1.3699264950037874e-14]
