"S05_START ""export"
"S05_PREPARE ""Hqqprime_F1Hat_IncomingChargeSquared_Regular_1"" leaves="1028235
"S05_REGULAR_EXACT ""F1Hat_IncomingChargeSquared_Regular"" leaves="530760
"S05_OPTIMIZE ""Hqqprime_F1Hat_IncomingChargeSquared_Regular_1"" leaves="530760
"S05_EXPORTED ""Hqqprime_F1Hat_IncomingChargeSquared_Regular_1"" optimized="8615
"S05_PREPARE ""Hqqprime_F1Hat_IncomingChargeSquared_Regular_m1"" leaves="1028235
"S05_REGULAR_EXACT ""F1Hat_IncomingChargeSquared_Regular"" leaves="530760
"S05_OPTIMIZE ""Hqqprime_F1Hat_IncomingChargeSquared_Regular_m1"" leaves="530760
"S05_EXPORTED ""Hqqprime_F1Hat_IncomingChargeSquared_Regular_m1"" optimized="8615
"S05_PREPARE ""Hqqprime_F1Hat_PrimeChargeSquared_Regular_1"" leaves="1570846
"S05_REGULAR_EXACT ""F1Hat_PrimeChargeSquared_Regular"" leaves="812120
"S05_OPTIMIZE ""Hqqprime_F1Hat_PrimeChargeSquared_Regular_1"" leaves="812120
"S05_EXPORTED ""Hqqprime_F1Hat_PrimeChargeSquared_Regular_1"" optimized="12916
"S05_PREPARE ""Hqqprime_F1Hat_PrimeChargeSquared_Regular_m1"" leaves="1570846
"S05_REGULAR_EXACT ""F1Hat_PrimeChargeSquared_Regular"" leaves="812120
"S05_OPTIMIZE ""Hqqprime_F1Hat_PrimeChargeSquared_Regular_m1"" leaves="812120
"S05_EXPORTED ""Hqqprime_F1Hat_PrimeChargeSquared_Regular_m1"" optimized="12916
"S05_PREPARE ""Hqqprime_F1Hat_MixedIncomingPrimeCharge_Regular_1"" leaves="2183162
"S05_REGULAR_EXACT ""F1Hat_MixedIncomingPrimeCharge_Regular"" leaves="1128897
"S05_OPTIMIZE ""Hqqprime_F1Hat_MixedIncomingPrimeCharge_Regular_1"" leaves="1128897
"S05_EXPORTED ""Hqqprime_F1Hat_MixedIncomingPrimeCharge_Regular_1"" optimized="45766
"S05_PREPARE ""Hqqprime_F1Hat_MixedIncomingPrimeCharge_Regular_m1"" leaves="2183162
"S05_REGULAR_EXACT ""F1Hat_MixedIncomingPrimeCharge_Regular"" leaves="1128897
"S05_OPTIMIZE ""Hqqprime_F1Hat_MixedIncomingPrimeCharge_Regular_m1"" leaves="1128897
"S05_EXPORTED ""Hqqprime_F1Hat_MixedIncomingPrimeCharge_Regular_m1"" optimized="45766
"S05_PREPARE ""Hqqprime_F2Hat_IncomingChargeSquared_Regular_1"" leaves="1028239
"S05_REGULAR_EXACT ""F2Hat_IncomingChargeSquared_Regular"" leaves="530763
"S05_OPTIMIZE ""Hqqprime_F2Hat_IncomingChargeSquared_Regular_1"" leaves="530763
"S05_EXPORTED ""Hqqprime_F2Hat_IncomingChargeSquared_Regular_1"" optimized="8620
"S05_PREPARE ""Hqqprime_F2Hat_IncomingChargeSquared_Regular_m1"" leaves="1028239
"S05_REGULAR_EXACT ""F2Hat_IncomingChargeSquared_Regular"" leaves="530763
"S05_OPTIMIZE ""Hqqprime_F2Hat_IncomingChargeSquared_Regular_m1"" leaves="530763
"S05_EXPORTED ""Hqqprime_F2Hat_IncomingChargeSquared_Regular_m1"" optimized="8620
"S05_PREPARE ""Hqqprime_F2Hat_PrimeChargeSquared_Regular_1"" leaves="1570850
"S05_REGULAR_EXACT ""F2Hat_PrimeChargeSquared_Regular"" leaves="812123
"S05_OPTIMIZE ""Hqqprime_F2Hat_PrimeChargeSquared_Regular_1"" leaves="812123
"S05_EXPORTED ""Hqqprime_F2Hat_PrimeChargeSquared_Regular_1"" optimized="12919
"S05_PREPARE ""Hqqprime_F2Hat_PrimeChargeSquared_Regular_m1"" leaves="1570850
"S05_REGULAR_EXACT ""F2Hat_PrimeChargeSquared_Regular"" leaves="812123
"S05_OPTIMIZE ""Hqqprime_F2Hat_PrimeChargeSquared_Regular_m1"" leaves="812123
"S05_EXPORTED ""Hqqprime_F2Hat_PrimeChargeSquared_Regular_m1"" optimized="12919
"S05_PREPARE ""Hqqprime_F2Hat_MixedIncomingPrimeCharge_Regular_1"" leaves="2183164
"S05_REGULAR_EXACT ""F2Hat_MixedIncomingPrimeCharge_Regular"" leaves="1128899
"S05_OPTIMIZE ""Hqqprime_F2Hat_MixedIncomingPrimeCharge_Regular_1"" leaves="1128899
"S05_EXPORTED ""Hqqprime_F2Hat_MixedIncomingPrimeCharge_Regular_1"" optimized="45766
"S05_PREPARE ""Hqqprime_F2Hat_MixedIncomingPrimeCharge_Regular_m1"" leaves="2183164
"S05_REGULAR_EXACT ""F2Hat_MixedIncomingPrimeCharge_Regular"" leaves="1128899
"S05_OPTIMIZE ""Hqqprime_F2Hat_MixedIncomingPrimeCharge_Regular_m1"" leaves="1128899
"S05_EXPORTED ""Hqqprime_F2Hat_MixedIncomingPrimeCharge_Regular_m1"" optimized="45766
"S05_CHANNEL_DONE ""Hqqprime"
