"S05_START ""export"
"S05_PREPARE ""Hgq_v3_F1hat_LODelta_1"" leaves="96
"S05_OPTIMIZE ""Hgq_v3_F1hat_LODelta_1"" leaves="96
"S05_EXPORTED ""Hgq_v3_F1hat_LODelta_1"" optimized="91
"S05_PREPARE ""Hgq_v3_F1hat_L1_1"" leaves="2428
"S05_OPTIMIZE ""Hgq_v3_F1hat_L1_1"" leaves="2097
"S05_EXPORTED ""Hgq_v3_F1hat_L1_1"" optimized="978
"S05_PREPARE ""Hgq_v3_F1hat_L0_1"" leaves="1587851
"S05_OPTIMIZE ""Hgq_v3_F1hat_L0_1"" leaves="778066
"S05_EXPORTED ""Hgq_v3_F1hat_L0_1"" optimized="132710
"S05_PREPARE ""Hgq_v3_F1hat_Regular_1"" leaves="3971025
"S05_OPTIMIZE ""Hgq_v3_F1hat_Regular_1"" leaves="2153079
"S05_EXPORTED ""Hgq_v3_F1hat_Regular_1"" optimized="396341
"S05_PREPARE ""Hgq_v3_F1hat_Delta_1"" leaves="30014448
"S05_OPTIMIZE ""Hgq_v3_F1hat_Delta_1"" leaves="14610747
"S05_EXPORTED ""Hgq_v3_F1hat_Delta_1"" optimized="2244331
"S05_PREPARE ""Hgq_v3_F1hat_LODelta_m1"" leaves="96
"S05_OPTIMIZE ""Hgq_v3_F1hat_LODelta_m1"" leaves="96
"S05_EXPORTED ""Hgq_v3_F1hat_LODelta_m1"" optimized="91
"S05_PREPARE ""Hgq_v3_F1hat_L1_m1"" leaves="2428
"S05_OPTIMIZE ""Hgq_v3_F1hat_L1_m1"" leaves="2097
"S05_EXPORTED ""Hgq_v3_F1hat_L1_m1"" optimized="978
"S05_PREPARE ""Hgq_v3_F1hat_L0_m1"" leaves="1587851
"S05_OPTIMIZE ""Hgq_v3_F1hat_L0_m1"" leaves="810438
"S05_EXPORTED ""Hgq_v3_F1hat_L0_m1"" optimized="132710
"S05_PREPARE ""Hgq_v3_F1hat_Regular_m1"" leaves="3971025
"S05_OPTIMIZE ""Hgq_v3_F1hat_Regular_m1"" leaves="2209299
"S05_EXPORTED ""Hgq_v3_F1hat_Regular_m1"" optimized="396347
"S05_PREPARE ""Hgq_v3_F1hat_Delta_m1"" leaves="30014448
"S05_OPTIMIZE ""Hgq_v3_F1hat_Delta_m1"" leaves="15178143
"S05_EXPORTED ""Hgq_v3_F1hat_Delta_m1"" optimized="2244325
"S05_PREPARE ""Hgq_v3_F2hat_LODelta_1"" leaves="97
"S05_OPTIMIZE ""Hgq_v3_F2hat_LODelta_1"" leaves="97
"S05_EXPORTED ""Hgq_v3_F2hat_LODelta_1"" optimized="92
"S05_PREPARE ""Hgq_v3_F2hat_L1_1"" leaves="2427
"S05_OPTIMIZE ""Hgq_v3_F2hat_L1_1"" leaves="2096
"S05_EXPORTED ""Hgq_v3_F2hat_L1_1"" optimized="977
"S05_PREPARE ""Hgq_v3_F2hat_L0_1"" leaves="1587850
"S05_OPTIMIZE ""Hgq_v3_F2hat_L0_1"" leaves="778065
"S05_EXPORTED ""Hgq_v3_F2hat_L0_1"" optimized="132709
"S05_PREPARE ""Hgq_v3_F2hat_Regular_1"" leaves="3971024
"S05_OPTIMIZE ""Hgq_v3_F2hat_Regular_1"" leaves="2153078
"S05_EXPORTED ""Hgq_v3_F2hat_Regular_1"" optimized="396340
"S05_PREPARE ""Hgq_v3_F2hat_Delta_1"" leaves="30014447
"S05_OPTIMIZE ""Hgq_v3_F2hat_Delta_1"" leaves="14610746
"S05_EXPORTED ""Hgq_v3_F2hat_Delta_1"" optimized="2244330
"S05_PREPARE ""Hgq_v3_F2hat_LODelta_m1"" leaves="97
"S05_OPTIMIZE ""Hgq_v3_F2hat_LODelta_m1"" leaves="97
"S05_EXPORTED ""Hgq_v3_F2hat_LODelta_m1"" optimized="92
"S05_PREPARE ""Hgq_v3_F2hat_L1_m1"" leaves="2427
"S05_OPTIMIZE ""Hgq_v3_F2hat_L1_m1"" leaves="2096
"S05_EXPORTED ""Hgq_v3_F2hat_L1_m1"" optimized="977
"S05_PREPARE ""Hgq_v3_F2hat_L0_m1"" leaves="1587850
"S05_OPTIMIZE ""Hgq_v3_F2hat_L0_m1"" leaves="810437
"S05_EXPORTED ""Hgq_v3_F2hat_L0_m1"" optimized="132709
"S05_PREPARE ""Hgq_v3_F2hat_Regular_m1"" leaves="3971024
"S05_OPTIMIZE ""Hgq_v3_F2hat_Regular_m1"" leaves="2209298
"S05_EXPORTED ""Hgq_v3_F2hat_Regular_m1"" optimized="396346
"S05_PREPARE ""Hgq_v3_F2hat_Delta_m1"" leaves="30014447
"S05_OPTIMIZE ""Hgq_v3_F2hat_Delta_m1"" leaves="15178142
"S05_EXPORTED ""Hgq_v3_F2hat_Delta_m1"" optimized="2244324
"S05_CHANNEL_DONE ""Hgq_v3"
